PREGUNTA,RESPUESTA_A,RESPUESTA_B,RESPUESTA_C,RESPUESTA_D,RESPUESTA_CORRECTA,BLOQUE,AUTOR,PROMOCION,ANNO_CREACION,OBSERVACIONES,NUMERO_TEST,NUMERO_PREGUNTA,ID,TEMAS,REVISADA,ESTADO,REVISOR,SENTENCIA,,EXAMEN
¿Cuál es el tamaño de bloque del algoritmo DES?,64 bits,56 bits,128 bits,256 bits,A,B2,A.deGrado,PREPARATIC24,2016,,,,,76,,,,INSERT,,Examen Xunta de Galicia A1 2011
"El protocolo IPv6, ¿cuántas direcciones de red distintas posibilita?",2 elevado a 64,2 elevado a 128,2 elevado a 32,2 elevado a 256,B,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen Xunta de Galicia A1 2011
"En el contexto de los tipos de redes, indique cuál de las siguientes afirmaciones NO es correcta",WAN significa Wireless Area Network,PAN significa Personal Área Network,MAN significa Metropolitan Área Network,SAN significa Storage Area Network,A,B4,A.deGrado,PREPARATIC24,2016,,,,,112,,,,INSERT,,Examen Xunta de Galicia A1 2011
Indique cuál de las siguientes afirmaciones es correcta sobre el modelo de capas OSI:,La capa de enlace se encarga de determinar los enlaces por donde enviar los paquetes.,La capa de sesión está por encima de la capa de presentación.,El nivel que realiza la función de obtener la mejor ruta para la comunicación entre máquinas ubicadas en redes geográficas distintas es el nivel 3.,La compresión y el cifrado de los datos es una tarea de la capa de aplicación.,C,B4,A.deGrado,PREPARATIC24,2016,,,,,105,,,,INSERT,,Examen Xunta de Galicia A1 2011
El nombre del estándar WiMAX proviene de:,Wireless Media for Área eXtent,Worldwide Interoperability for Microwave Access,WiFi MAXimun,Wireless Model Access eXtensive,B,B4,A.deGrado,PREPARATIC24,2016,,,,,107,,,,INSERT,,Examen Xunta de Galicia A1 2011
Las redes ATM emplean celdas de:,"Tamaño variable: entre 5 y 10 bytes de cabecera, más 46 bytes de información.","Tamaño fijo: 5 bytes de cabecera, más 48 bytes de información.","Tamaño fijo: 8 bytes de cabecera, más 56 bytes de información.",Tamaño variable: 5 bytes de cabecera y entre 48 y 56 bytes de información.,B,B4,A.deGrado,PREPARATIC24,2016,,,,,107,,,,INSERT,,Examen Xunta de Galicia A1 2011
Indique cuál de las siguientes afirmaciones es correcta sobre MPLS (Multiprotocol Label Switching),Opera entre la capa de enlace y la capa de red.,Opera entre la capa de transporte y la capa de red.,Complementa los servicios de TLS/SSL.,Requiere una capa física específica.,A,B4,A.deGrado,PREPARATIC24,2016,,,,,107,,,,INSERT,,Examen Xunta de Galicia A1 2011
Los equipos Bluetooth emplean:,Transmisión por espectro expandido mediante secuencia directa.,Transmisión por espectro expandido mediante salto de frecuencia.,Un algoritmo de control de acceso al medio basado en CDMA/CD.,Un algoritmo de control de acceso al medio basado en CDMA/CA.,B,B4,A.deGrado,PREPARATIC24,2016,,,,,105,,,,INSERT,,Examen Xunta de Galicia A1 2011
Indique cuál de las siguientes afirmaciones NO es correcta sobre el estándar IEEE 802.11,Utiliza CSMA/CA como protocolo MAC,La trama 802.11 contiene 4 direcciones MAC,La trama 802.11 contiene 2 direcciones MAC,Utiliza tramas de reconocimiento o confirmación (ACK),C,B4,A.deGrado,PREPARATIC24,2016,,,,,108,,,,INSERT,,Examen Xunta de Galicia A1 2011
"Dadas las IPs de dos hosts (172.16.17.30 y 172.16.28.15) y su máscara (255.255.240.0), ¿están en la misma subred?",Sí,No,Depende de la dirección de la puerta de enlace,Depende de la configuración del conmutador,A,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen Xunta de Galicia A1 2011
¿Cuál de los siguientes protocolos de encaminamiento está basado en el estado de los enlaces?,RIP versión 1,OSPF,BGP,RIP versión 2,B,B4,A.deGrado,PREPARATIC24,2016,,,,,102,,,,INSERT,,Examen Xunta de Galicia A1 2011
"Desde un punto de vista conceptual, indique cuál de las siguientes afirmaciones sobre encaminadores (routers) y conmutadores (switches) es correcta:",Los encaminadores son para redes ATM y los conmutadores para redes Ethernet.,Los encaminadores trabajan en el nivel 3 y los conmutadores en el nivel 2.,"Ambos trabajan en los niveles 2 y 3, pero los conmutadores realizan tareas de filtrado IP.",Son exactamente lo mismo.,B,B4,A.deGrado,PREPARATIC24,2016,,,,,102,,,,INSERT,,Examen Xunta de Galicia A1 2011
¿Qué protocolo de acceso al medio utiliza Ethernet?,HDLC,CSMA/CA,CSMA/CD,MACA,C,B4,A.deGrado,PREPARATIC24,2016,,,,,112,,,,INSERT,,Examen Xunta de Galicia A1 2011
"Indique cuál de las siguientes afirmaciones es correcta. En un rack para albergar servidores, una U se refiere a:",Una medida estándar de la anchura de los equipos que se pueden conectar.,Una medida estándar del consumo de cada equipo.,Una medida estándar de la altura de los equipos que se pueden conectar.,Una medida estándar de la longitud de los raíles horizontales para fijar los equipos.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,50,,,,INSERT,,Examen Xunta de Galicia A1 2011
¿A qué categoría de la taxonomía de Flynn pertenecen los microprocesadores multinúcleo?,SISD,SIMD,MISD,MIMD,D,B2,A.deGrado,PREPARATIC24,2016,,,,,49,,,,INSERT,,Examen Xunta de Galicia A1 2011
"Si un archivo de Linux tiene el modo de protección 640 (en octal), ¿qué pueden hacer el propietario, el grupo del propietario y los demás?","El propietario leer, escribir y ejecutar, el grupo leer y escribir y los demás leer.","El propietario leer y escribir, el grupo leer y los demás nada.","El propietario leer y escribir, el grupo ejecutar y los demás nada.","El propietario leer, escribir y ejecutar, el grupo leer y los demás nada.",B,B2,A.deGrado,PREPARATIC24,2016,,,,,57,,,,INSERT,,Examen Xunta de Galicia A1 2011
"En la arquitectura de Linux, indique cuál de las siguientes afirmaciones NO es correcta:",La capa de programas y utilidades trabaja en modo usuario.,La biblioteca estándar se sitúa por encima de la capa de kernel y trabaja en modo kernel.,La biblioteca estándar accede a la capa de kernel mediante la interfaz de llamadas al sistema.,El kernel se sitúa por encima de la capa del hardware.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,57,,,,INSERT,,Examen Xunta de Galicia A1 2011
Indique cuál de las siguientes afirmaciones sobre el protocolo SMTP es correcta:,Ejecutando el comando telnet para acceder al servidor SMTP por el puerto 25 sería posible enviar correos electrónicos.,Es un protocolo que necesita autenticación del usuario.,El cuerpo de los mensajes debe estar compuesto por caracteres ASCII de 8 bits.,"El protocolo modificado con las extensiones MIME, que permite ampliar el tipo de archivos que se pueden enviar, se denomina ESMTP.",A,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen Xunta de Galicia A1 2011
Indique cuál de los siguientes es un servidor web basado en código abierto:,Internet Information Server,WebSphere,WebLogic,Lighttpd,D,B2,A.deGrado,PREPARATIC24,2016,,,,,66,,,,INSERT,,Examen Xunta de Galicia A1 2011
"Cuando un CPD (Centro de Proceso de Datos) ofrece 5 nueves, se refiere a su:",Seguridad.,Redundancia.,Capacidad de refrigeración a pleno rendimiento.,Disponibilidad.,D,B2,A.deGrado,PREPARATIC24,2016,,,,,50,,,,INSERT,,Examen Xunta de Galicia A1 2011
Se denomina hypervisor a:,Proceso principal del kernel de un sistema operativo.,Aplicación que monitoriza una máquina virtual.,Software sobre el que se ejecutan las máquinas virtuales.,Sistema operativo modificado para ser virtualizado.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,54,,,,INSERT,,Examen Xunta de Galicia A1 2011
La organización de discos RAID 4 necesita:,4 discos físicos como mínimo.,3 discos físicos como mínimo.,2 discos físicos como mínimo.,No tiene limitación en el número mínimo de discos físicos.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,53,,,,INSERT,,Examen Xunta de Galicia A1 2011
Indique cuál de las siguientes afirmaciones NO es correcta sobre Fibre Channel,Es una tecnología utilizada para implementar SANs (Storage Área Networks).,Funciona exclusivamente sobre fibra óptica.,"Con Fibre Channel se pueden desplegar topologías punto a punto, en anillo e infraestructura conmutada.",Los conmutadores Fibre Channel pueden comenzar a transmitir un frame antes de recibirlo en su totalidad.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,50,,,,INSERT,,Examen Xunta de Galicia A1 2011
¿Cuál de las siguientes herramientas software para backup NO es de código abierto?,Bacula,BackupPC,Amanda,NetBackup,D,B2,A.deGrado,PREPARATIC24,2016,,,,,66,,,,INSERT,,Examen Xunta de Galicia A1 2011
"En términos de disponibilidad de la información, se entiende como Objetivo de Punto de Recuperación (RPO):","La cantidad máxima de información que puede ser perdida cuando el servicio es restaurado tras una interrupción, sin que suponga repercusiones graves para la organización.",El tiempo máximo permitido para la recuperación de un servicio de TI tras una interrupción.,La cantidad máxima de información que se puede recuperar en el tiempo de restauración del servicio de TI.,El tiempo mínimo requerido para la recuperación de un servicio de TI tras una interrupción.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,50,,,,INSERT,,Examen Xunta de Galicia A1 2011
¿Cuál de las siguientes PDUs se añaden en el protocolo SNMPv2 con respecto a las de SNMPv1?,Trap,GetResponse,GetBulkRequest,GetNextTesponse,C,B4,A.deGrado,PREPARATIC24,2016,,,,,114,,,,INSERT,,Examen Xunta de Galicia A1 2011
¿Cuál es el protocolo utilizado habitualmente para la gestión de redes en la arquitectura TCP/IP?,PGR,SMTP,ICMP,SNMP,D,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen Xunta de Galicia A1 2011
Indique cuál de las siguientes afirmaciones es correcta acerca de los clústers de alto rendimiento (clústers HPC):,Se deben programar utilizando librerías de paralelización como MPI.,Funcionan repartiendo la carga entre un gran número de nodos de forma transparente al usuario.,Las comunicaciones entre nodos se realizan siempre a través de redes Ethernet.,Implementan redundancia para garantizar la disponibilidad.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,49,,,,INSERT,,Examen Xunta de Galicia A1 2011
"En un documento electrónico, en el contexto del desarrollo de la administración electrónica, se entiende como metadato cualquier tipo de información en forma electrónica asociada a los documentos electrónicos. Indique cuál de las siguientes afirmaciones NO es correcta:","La norma técnica de interoperabilidad de desarrollo del ENI, relativa al documento electrónico, determina los metadatos mínimos obligatorios, así como la asociación de los datos o metadatos de firma o de referencia temporal de los mismos.","Están destinados al conocimiento inmediato y automatizable de alguna de sus características, con la finalidad de garantizar la disponibilidad, el acceso, la conservación y la interoperabilidad del propio documento.",Son de carácter instrumental y dependientes del contenido del documento.,"Los documentos electrónicos susceptibles de ser integrados en un expediente electrónico deberán tener asociados metadatos que permitan su contextualización en el marco del órgano u organismo, la función y el procedimiento administrativo al que corresponde.",C,B1,A.deGrado,PREPARATIC24,2016,,,,,44,,,,INSERT,,Examen Xunta de Galicia A1 2011
¿Cuáles son en ITIL los tres subprocesos de la Gestión de Capacidad?,"Gestión de Capacidad del Negocio, Gestión de Capacidad del Servicio y Gestión de Capacidad de los Componentes","Gestión de Capacidad de Suplidores, Gestión de Capacidad de Servicios y Gestión de Capacidad de los Componentes","Gestión de Capacidad de Suplidores, Gestión de Capacidad de Servicios y Gestión de Capacidad Tecnológica","Gestión de Capacidad del Negocio, Gestión de Capacidad Tecnológica y Gestión de Capacidad de los Componentes",A,B3,A.deGrado,PREPARATIC24,2016,,,,,101,,,,INSERT,,Examen Xunta de Galicia A1 2011
Indique cuál de las siguientes plataformas categorizaría como una plataforma tecnológica de tipo LMS (Learning Management System).,Joomla,Drupal,Moodle,Todas las anteriores,C,B2,A.deGrado,PREPARATIC24,2016,,,,,70,,,,INSERT,,Examen Xunta de Galicia A1 2011
"En referencia al lenguaje XML, ¿Cuál de las siguientes opciones considera correcta?",Las hojas de estilo CSS no puede ser utilizadas con HTML,XSL puede usarse para transformar datos XML a documentos HTMUCSS en un servidor web,CSS puede ejecutar cualquier 16gica basada en los datos,XML permite más de un elemenio raiz.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,74,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"Según el RD 1720/2007, de 21 de diciembre, (por el que se aprueba el Reglamento de Desarrollo de LOPD), a un fichero que contenga: nombre, apellidos, dirección electrónica laboral y teléfono profesional, todo ello referido a varios proveedores de un hospital, se Ie deberán aplicar:",Las medidas de seguridad de nivel básico.,Las medidas de seguridad de nivel medio.,Las medidas de seguridad de nivel alto.,Ninguna de las anteriores de correcta.,D,B1,A.deGrado,PREPARATIC24,2016,,,,,35,,,,INSERT,,Examen Servicio Canario Salud A1 2012
Los tipos de documentos según XML son:,Inválido y válido,Inválido y bien formado,"Inválido, bien formado y válido","lnválido, bien formado, válido y completo",C,B2,A.deGrado,PREPARATIC24,2016,,,,,74,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"Según el RD 1720/2007, de 21 de diciembre, (por el que se aprueba el Reglamento de Desarrollo de LOPD), se podrán realizar pruebas anteriores a la implantación de un sistema de la información con datos reales:",Si se tratan datos personales con nivel de seguridad básico.,"Si se asegura el nivel de seguridad correspondiente al tratamiento realizado, se anota su realización en el documento de seguridad y se ha realizado previamente una copia de seguridad.",Si se asegura el nivel de seguridad correspondiente al tratamiento realizado y se ha recibido aprobación previa del responsable de seguridad.,Todas las anteriores son correctas.,B,B1,A.deGrado,PREPARATIC24,2016,,,,,35,,,,INSERT,,Examen Servicio Canario Salud A1 2012
XML:,"Es un lenguaje de presentación similar a HTML, pero más avanzado",Es similar a HTML pero con orientación al mundo del diseño dado que permite realizar páginas web más vistosas y dinámicas.,"Está orientado a especificar la estructura de los datos, no la forma de presentarlos.",Es un lenguaje para el intercambio de información no estructurada entre diferentes plataformas.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,74,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"Según el RD 1720/2007, de 21 de diciembre, (por el que se aprueba el Reglamento de Desarrollo de LOPD), cuando el mecanismo de autenticación de los usuarios autorizados a acceder a la historia clínica se base en la existencia de contraseñas exigirá:","Un procedimiento de asignación, distribución y almacenamiento que garantice su confidencialidad e integridad.",Un procedimiento de asignación y distribución que garantice su confidencialidad e integridad.,Un procedimiento que auto rice al responsable de seguridad al conocimiento de las contraseñas.,Un procedimiento que garantice una diligente distribución y almacenamiento que minimice el tiempo de espera.,A,B1,A.deGrado,PREPARATIC24,2016,,,,,35,,,,INSERT,,Examen Servicio Canario Salud A1 2012
Cuál es el uso más generalizado de las funciones irreversibles tipo HASH:,Para cifrar y descifrar mensajes,Para firma electrónica,Para garantizar la confidencialidad,Para encriptar mensajes,B,B2,A.deGrado,PREPARATIC24,2016,,,,,76,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"De acuerdo con el RD 1720/2007, de 21 de diciembre, (por el que se aprueba el Reglamento de Desarrollo de LOPD), la designación como responsable de seguridad:",Implica que asume la responsabilidad que corresponde al responsable del fichero o al encargado de tratamiento.,Implica que comparte la responsabilidad que corresponde al responsable del fichero o al encargado de tratamiento.,En ningún caso supone una exoneración de la responsabilidad que corresponde al responsable del fichero o al encargado del tratamiento.,Siempre debe recaer en el responsable de los sistemas de la información.,C,B1,A.deGrado,PREPARATIC24,2016,,,,,35,,,,INSERT,,Examen Servicio Canario Salud A1 2012
Los algoritmos de clave simétrica:,Disponen de un par de claves pública/privada,Son menos eficientes que los de clave asimétrica,Se pueden distribuir y mantener fácilmente las claves,Tienen una alta velocidad de cifrado y descifrado,D,B2,A.deGrado,PREPARATIC24,2016,,,,,76,,,,INSERT,,Examen Servicio Canario Salud A1 2012
EI sistema Kerberos de autenticación y de distribución de claves de sesión requiere:,La existencia de una tercera entidad de confianza centralizada,Que cada usuario tenga un par de claves reconocidas: la pública y la privada,La existencia de una red de conexión interna total mente segura.,Que cada servidor de aplicaciones mantenga claves secretas compartidas con todos los usuarios que Ie puedan solicitar servicios.,A,B4,A.deGrado,PREPARATIC24,2016,,,,,119,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"Según la Ley Orgánica 15/1999, de 13 de diciembre, de Protección de Datos de carácter Personal, un paciente que solicite el acceso a los datos de carácter personal que figuran en su historia clínica:",Tendrá derecho a obtener gratuitamente esta información.,No tendrá derecho a acceder a sus datos porque pertenecen al organismo que los trata.,Tendrá derecho a acceder a esta información abonando las tasas correspondientes.,Tendrá derecho a acceder a esta información únicamente si lo solicita por escrito y lo autoriza el responsable de seguridad.,A,B1,A.deGrado,PREPARATIC24,2016,,,,,35,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"Según la recomendación X.509 v.3, en relación con las Listas de Certificados Revocados (CRL), ¿Cuál de las siguientes afirmaciones es correcta?:",Pueden contener certificados revocados por diversas Autoridades de Certificación,"Para cada certificado revocado indican, entre otros, el nombre del titular del certificado y la correspondiente clave pública.",Deben actualizarse al menos una vez a la semana.,Permiten conocer el estado de un certificado en el instante de la consulta,A,B2,A.deGrado,PREPARATIC24,2016,,,,,77,,,,INSERT,,Examen Servicio Canario Salud A1 2012
Según la recomendación X.509 v3:,Un usuario puede tener a lo sumo un certificado de atributos por cada certificado de clave pública,Los certificados de atributos deben ser generados por Autoridades de Certificación,"Para su validez, los certificados de atributos deben contener un certificado de clave pública.",Los certificados de atributos contienen idénticos campos que subcampos tiene el campo de extensiones de los certificados de clave pública,C,B2,A.deGrado,PREPARATIC24,2016,,,,,77,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"Según la ley 59/2003 de firma electrónica, los certificados electrónicos reconocidos:","Confieren, por si mismos, a la firma electrónica avanzada la misma eficacia jurídica que a la manuscrita en relación con los datos consignados en papel.",Tienen una validez de 6 anos como máximo,Pueden identificar a las personas físicas para las que se expidan certificados a través de un seudónimo,Solo son validos para las personas jurídicas.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,77,,,,INSERT,,Examen Servicio Canario Salud A1 2012
EI Documento Nacional de Identidad electrónico:,Acredita electrónicamente la identidad personal de su titular y permite la firma electrónica de documentos,Sólo se podrá utilizar para acreditar la identidad de su titular,Permitirá acreditar la identidad de las personas físicas o jurídicas,Puede almacenar información penal y sanitario del titular.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,78,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"Cuando se dispone de una tarjeta criptográfica para almacenar la clave privada, ¿Cuál es el procedimiento más usual para firmar un documento?:","Se transfiere a la tarjeta un ""hash"" del documento a firmar y esta devuelve la firma",Se transfiere a la tarjeta el documento a firmar y esta devuelve la firma,"EI explorador de Internet calcula un ""hash"" del documento a firmar, obtiene la clave privada de la tarjeta y cifra el ""hash"" con ella.","EI explorador de Internet obtiene la clave privada de la tarjeta, y firma el documento directamente.",A,B2,A.deGrado,PREPARATIC24,2016,,,,,77,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"En el contexto de seguridad en redes, que se entiende por cortatuegos:","Un sistema que separa, en cuanto a seguridad se refiere, una máquina o sub red del resto",Es un programa que se instala en un anfitrión de la red interna para proteger los accesos a la misma.,Es un sistema que se instala en la red externa para controlar los accesos a la red interna,"Es software o dispositivo que realiza una acción en representación de otro, garantizado as! su seguridad.",A,B4,A.deGrado,PREPARATIC24,2016,,,,,119,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"En criptografía asimétrica, con que clave cifra un usuario un documento:",Con su propia clave privada,Con su propia clave pública,Con la clave privada del destinatario,Con la clave pública del destinatario,D,B2,A.deGrado,PREPARATIC24,2016,,,,,76,,,,INSERT,,Examen Servicio Canario Salud A1 2012
Cuál de las siguientes afirmaciones es FALSA:,IPSEC es utilizada para el establecimiento de túneles seguros a través de Internet,IPSEC se comporta igual con Ipv4 que con Ipv6,"Con IPSEC se garantiza la integridad y la autenticidad, siendo la confidencialidad opcional",Cada conexión con IPSEC requiere de dos SA para que sea bidireccional,B,B4,A.deGrado,PREPARATIC24,2016,,,,,119,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"¿Cuál de las siguientes aseveraciones es FALSA, en relación a los beneficios que aporta la buena Gobernabilidad de las TIC?:",Mejora la calidad del servicio,Optimiza los costes,Mejora la transparencia,Reduce los riesgos,C,B3,A.deGrado,PREPARATIC24,2016,,,,,101,,,,INSERT,,Examen Servicio Canario Salud A1 2012
¿Cuál es la mejor definición para el concepto de Benchmarking?,"Proceso para evaluar comparativamente los productos, servicios y procesos de trabajo en organizaciones",Procedimiento para la comparación de precios de los servicios prestados por las organizaciones,Proceso para el establecimiento de objetivos de control en el manejo y uso de las TIC,Procedimientos para proporcionar la información que la empresa requiere para lograr sus objetivos,A,B1,A.deGrado,PREPARATIC24,2016,,,,,39,,,,INSERT,,Examen Servicio Canario Salud A1 2012
Se ha decidido establecer un Centro de Atención de Usuarios (CAU) en la organización para atender las necesidades de los usuarios en cuanto a nuevas peticiones y problemas. ¿Que NO corresponde a los principios que deben regir dicho CAU?:,Documentar las soluciones dadas a las incidencias creadas,Generar una base de datos del conocimiento,Disponer de un punto de contacto único al usuario final,Detectar necesidades de los usuarios,D,B3,A.deGrado,PREPARATIC24,2016,,,,,101,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"En relación con las metodologías ligeras de desarrollo de software, ¿Cuál de las siguientes afirmaciones es correcta?","Según el Manifiesto Ágil, las personas y su interacción deben prevalecer sobre una aplicación estricta de los procesos y las herramientas","Según el Manifiesto Ágil, el seguimiento del plan debe prevalecer sobre la respuesta al cambio","La versión 3 de Métrica, que soporta tanto desarrollos estructurados como orientado a objetos, es un claro ejemplo de metodología ligera",La metodologÍa RUP-Proceso Unificado de Rational es una metodología ligera,A,B3,A.deGrado,PREPARATIC24,2016,,,,,84,,,,INSERT,,Examen Servicio Canario Salud A1 2012
Indique cual de las siguientes alternativas corresponde a los procesos de Desarrollo de Sistemas de Información dentro de la metodología Métrica v3:,"Estudio de Viabilidad del Sistema, Construcción del Sistema de Información, Mantenimiento del Sistema de Información","Planificación del Sistema de Información, Construcción del Sistema de Información, Mantenimiento del Sistema de Información","Planificación del Sistema de Información, Construcción del Sistema de Información, Implantación y Aceptación del Sistema","Estudio de Viabilidad del Sistema, Análisis del Sistema de Información, Implantación y Aceptación del Sistema",D,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"Según METRICA version 3, el proceso MSI (Mantenimiento de Sistemas de Información) solo incluye los mantenimientos:",Mantenimiento correctivo y evolutivo,Mantenimiento evolutivo y adaptativo,Mantenimiento adaptativo y perfectivo,Mantenimiento perfectivo y correctivo,A,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen Servicio Canario Salud A1 2012
¿Cuál de las siguientes aseveraciones es FALSA?:,"En las Cartas de Servicio que se elaboren, se deben establecer los dispositivos de seguimiento y evaluación","La Calidad Total implica un enfoque que comprende tanto el concepto producto como el concepto servicio, no como elementos independientes.",Las Cartas de Servicios expresan un compromiso con los ciudadanos para mejorar la calidad de los servicios,Las Cartas de Servicios no tienen la consideración de documentos oficiales.,D,A4,A.deGrado,PREPARATIC24,2016,,,,,19,,,,INSERT,,Examen Servicio Canario Salud A1 2012
¿Cuál de las siguientes aseveraciones es FALSA?:,EI modelo EFQM de Excelencia puntúa más los procesos que las políticas y estrategias,"En el modelo EFQM de Excelencia, en el apartado de los resultados, solo se tiene en cuenta los beneficios empresariales","Uno de los ocho principios en que se basan las normas de la familia ISO 9000:2000 es ""el enfoque basado en procesos”",La ISO 9004:2000 no establece los requisitos que debe cumplir un sistema de calidad de certificación.,B,B3,A.deGrado,PREPARATIC24,2016,,,,,98,,,,INSERT,,Examen Servicio Canario Salud A1 2012
En relación a la norma ISO 9004 ¿Qué aseveración es FALSA?:,No es certificable,Contiene las directrices para la mejora continua del desempeño,Está basada en un enfoque de procesos,Garantiza la gestión de la calidad de los productos,D,B3,A.deGrado,PREPARATIC24,2016,,,,,98,,,,INSERT,,Examen Servicio Canario Salud A1 2012
¿Qué sistema de RAID proporciona protección contra fallos dobles de discos y contra fallos cuando se está reconstruyendo un disco?:,RAI3,RAI5,RAI6,RAID 0+1,C,B2,A.deGrado,PREPARATIC24,2016,,,,,53,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"Para un sistema de almacenamiento de cien unidades de disco, ¿Cuál de los siguientes ofrece mayor capacidad neta de almacenamiento?: .",RAI1,RAI5,RAI6,RAID 0+1,B,B2,A.deGrado,PREPARATIC24,2016,,,,,53,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"Una copia de seguridad que incluye todos los archivos creados o modificados desde la última copia completa, sin marcarlos individualmente como copiados, es una copia de seguridad:",Acumulativa,Intermedia,Incremental,Diferencial,D,B2,A.deGrado,PREPARATIC24,2016,,,,,53,,,,INSERT,,Examen Servicio Canario Salud A1 2012
Los cables de fibra óptica utilizados en entornos WAN en enlaces de larga distancia:,"Suelen ser de tipo multimodo ya que permite transmitir varios haces de luz,",Suelen ser de tipo monomodo por la mayor robustez de la libra,Suelen ser de tipo monomodo per su menor atenuación,Suelen ser de tipo multimodo por su menor atenuación,C,B4,A.deGrado,PREPARATIC24,2016,,,,,104,,,,INSERT,,Examen Servicio Canario Salud A1 2012
EI cableado estructurado de categoría 5e:,Permite transmisiones a velocidades 1OGbit Ethernet,Solo es posible utilizarlo en comunicaciones full-duplex,"A diferencia de la categoría 5, permite la transmisión de paquetes VolP",Está estandarizado por la norma TIAIEIA-568-B,D,B4,A.deGrado,PREPARATIC24,2016,,,,,104,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"Para limitar el impacto negativo del tráfico de broadcast, ¿Cuál de las siguientes medidas NO es válida?:",Dividir la red en subredes,Implementar dispositivos de capa 3 para la comunicación entre subredes,Dividir la red en VLANs,Sustituir Concentrador (hub) por conmutadores (switch),D,B4,A.deGrado,PREPARATIC24,2016,,,,,102,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"La cabecera de IPv6, en tsrrninos absolutos, es más grande que la de IPv4:","Cierto, porque ocupa el doble de octetos","Falso, ya que en IPv6 se ha simplificado el formato de la cabecera","Cierto, porque el número de direcciones pasa de 32 a 128 bits","Falso, ya que la cabecera de IPv6 utiliza 8 campos y la de IPv4 utiliza 16 campos.",A,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"En el contexto de TCP/IP, ¿qué se entiende por encapsulamiento?",La partición del paquete a enviar en trozos acordes con la Unidad Maxima de Transferencia que soporta la red por la que se va a enviar,EI cifrado de las direcciones IP de origen y destino,La adición de información de control en cada nivel antes de pasarla al nivel inferior.,La encriptación de los octetos de información de los paquetes IP.,C,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen Servicio Canario Salud A1 2012
¿Cuál de los siguientes protocolos no se ejecuta en el nivel de aplicación?,"RIP, Protocolo de información de enrutamiento","NFS, sistema de archivos de red","ARP, protocolo de resolución de direcciones","FTP, Protocolo de transferencia de Ficheros",C,B4,A.deGrado,PREPARATIC24,2016,,,,,102,,,,INSERT,,Examen Servicio Canario Salud A1 2012
A que se denomina Jitter en una red de comunicaciones sobre la que se soporta VoIP?,AI retardo máximo de un paquete IP en una red de comunicaciones,A la variación del retardo de los paquetes en una red de comunicaciones,A la supresión de los silencios mediante la no transmisión de paquetes.,Ninguno de los anteriores,B,B4,A.deGrado,PREPARATIC24,2016,,,,,122,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"¿Cuando un sistema en una red local envía un datagrama IP a otro sistema en una subred distinta, utiliza el protocolo ARP para obtener:",La dirección MAC del Router,La identificación del puerto TCP o UDP del sistema final destine,La dirección IP del sistema final destine,La dirección MAC del sistema final destino,A,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen Servicio Canario Salud A1 2012
